"Data Source","World Development Indicators",

"Last Updated Date","2017-02-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","54.02","54.68","54.65","59.12","61.96","64.11","70.2","73.31","74.37","67.73","62.86","68.23","73.56","76.02","78.24","83.72","74.83","80.92","79.94","79.84","79.65","78.79","76.99","74.09","69.22","63.15","65.5","64.53","64.15","69.17","70.44","68.23","73.28","78.94","83.16","88.82","96.24","103.2","102.17","85.57","78.19","95.75","99.47","97.29","105.74","96.97","108.67","100.44","116.51","115.86","110.53","122.57","119.84","","","",
"Angola","AGO","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","28.92","29.96","30.37","31.76","32.58","33.19","34.09","34.38","36.56","38.36","38.43","36.94","39.13","38.28","36.92","36.54","35.59","35.69","34.8","34.82","34.06","34.6","35.23","35.64","36.13","37.46","38.01","37.86","37.88","37.99","39.59","41.84","41.89","47.45","46.07","49.09","49.31","56.86","54.04","62.52","71.3","81.37","86.99","93.47","101.86","104.66","117.14","129.74","164.91","173.96","190.76","158.49","213.39","","","",
"Albania","ALB","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","29.35","30.12","28.52","32.47","30.47","34.51","36.24","37","37.9","39.06","41.13","42.09","45.18","46.27","46.67","51.48","54.12","56.25","57.49","56.25","58.29","60.88","66.29","61.34","60.32","60.03","62.51","60.38","67.54","66.95","57.35","62.06","70.85","78.06","84.87","84.53","79.46","83.21","82.49","86.44","89.4","90.03","95.31","99.74","98.02","102.24","103.52","107.74","112.11","117.99","123.81","131.61","127.86","","","",
"Arab World","ARB","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","22.7582028103246","25.1147505202295","25.9605382629982","26.1613589917241","27.2932913369119","25.4794898978065","27.0821223632641","29.259087256008","28.7609953862168","29.1064176102399","31.8118858374917","32.0697073161189","30.9906022617312","33.8680959612851","35.0668568274391","35.7663044021808","35.1073506603395","37.1253873300377","37.8962397283893","40.9490928334037","41.2665013174756","43.0785592497287","43.8167813211311","43.9970699201786","49.1846006255848","51.7847397688187","51.5601351573387","55.0442548339264","55.2535336656724","59.2434556374564","61.7021564128894","63.3378107692196","64.0857317017532","66.4838876491686","67.3222204503697","77.5885210436029","74.3478663183942","80.0925838109731","80.8765688465235","82.6404497792651","83.3889478691522","89.1212117295763","94.3790324293996","96.266578152908","99.0009517084208","104.732470138671","102.263693194476","105.228109374815","110.015611521252","109.276601304926","113.869527021469","115.090517703065","118.768719189584","","","",
"United Arab Emirates","ARE","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","4.06","4.12","4.25","4.4","4.5","4.63","4.78","4.98","5.28","5.67","6","5.83","6.67","7.8","7.6","7.02","8.4","10.94","12.31","14.15","15.42","19.09","22.14","21.16","21.3","20.64","19.95","24.71","29.06","30.52","37.96","47.59","51.18","55.2","65.9","72.79","90.45","94.43","144.17","173.77","104.95","102.51","92.11","102.39","105.16","92.46","92.35","102.44","100.49","110.49","64.45","65.56","68.19","","","",
"Argentina","ARG","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","36.77","39.35","43.17","40.02","38.06","41.83","46.07","43.2","46.92","45.81","42.73","42.65","44.19","47.55","48.58","53.76","53.6","57.68","58.53","53.91","58.28","59.31","57.75","59.48","60.41","62.01","58.92","60.67","55.84","63.37","64.49","64.94","64.24","69.3","72.64","74.23","76.61","82.17","86.49","85.93","86.54","85.01","91","92.69","103.03","104.29","114.51","111.72","96.9","115.66","115.86","106.03","118.41","","","",
"Armenia","ARM","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","75.3","57","71.3","65.7","71","60.5","66","65.2","63.68","67.24","70.18","75.64","88.1","100.87","111.04","121.62","124.4","124.14","108.03","","","","","","","","","","","","73.98","64.93","72.59","73.47","75.05","65.41","70.49","69.63","67.51","70.93","72.04","76.71","89.24","102.19","108.57","120.68","120.02","119.64","104.6","115.59","123.47","129.22","","","",
"American Samoa","ASM","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","70.22","70.93","79.37","81.52","84.49","86.01","80.56","78.89","83.17","80.57","73","71.8","70.62","68.42","67.28","65.86","64.77","60.75","54.17","60.68","57.48","57.33","56.11","54.15","53.04","54.06","45.7","48.1","48.37","52.87","47.28","47.49","49.86","50.09","51.2","55.8","55.86","84.92","69.45","74.98","80.53","83.33","96.24","92.8","105.07","102.13","93.84","102.95","103.35","109.29","99.51","102.05","109.05","","","",
