"Data Source","World Development Indicators",

"Last Updated Date","2017-02-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.0264129638672","","","","","","","","","","99.1384124755859","","","","","99.4122009277344","",
"Andorra","AND","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","30.0663509368896","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.9900512695313","","","","58.154899597168","",
"Angola","AGO","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.1944885253906","","","","","","","","","","","","","72.9531402587891","72.9267883300781","",
"Albania","ALB","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4351501464844","","","","","","","98.8312072753906","","","98.7911911010742","99.2313995361328","","","99.0291976928711","",
"Arab World","ARB","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.0354461669922","","","","","","","","","","81.5449447631836","","","","","","","","","","88.9646987915039","","","","","","",
"United Arab Emirates","ARE","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","63.0476112365723","","","","","","","","","","82.4726409912109","","","","","","","","","","","","","","","","","","","","95.0064468383789","","","","","","","","","","99.4596710205078","",
"Argentina","ARG","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","96.8825378417969","","","","","","","","","","","98.3046417236328","","","","","","","","","","98.9166564941406","","","","","","","","","","","","","99.2828598022461","99.3043670654297","",
"Armenia","ARM","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9099578857422","","","","","","","","","","","","99.8072814941406","","","","","","","","","","99.8473968505859","","","","99.8453979492188","",
"American Samoa","ASM","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","97.6542129516602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.886100769043","","","","","","","","100","","99.951301574707","99.9505996704102","99.9440994262695","99.9367523193359","99.9524688720703","99.9569931030273","99.9560012817383","",
"Burundi","BDI","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","30.9765892028809","","","","","","","","","","","53.5552101135254","","","","","","","","","","73.3300628662109","","","","","","","","88.8863677978516","","","","","","","87.6179809570313","",
"Belgium","BEL","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","29.7867393493652","","","","","","","","","","","","","39.8766098022461","","","","","","","","","","45.3096199035645","","","","42.3627014160156","","","","","","","","","52.5492401123047","",
"Burkina Faso","BFA","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","14.3775196075439","","","","","","","","","","","","","","","","20.180290222168","","","","","19.4141502380371","","","","","","","31.2292594909668","","32.9666213989258","32.730598449707","39.2577781677246","","","","","","","50.096248626709","52.5093116760254","",
"Bangladesh","BGD","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","35.6532516479492","","","","","","","","","","44.6808280944824","","","","","","","","","","63.622730255127","","","","","","","","","","","","","82.1669616699219","83.1978073120117","",
"Bulgaria","BGR","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.2124786376953","","","","","","","","","","97.8650512695313","","","","98.0003662109375","",
"Bahrain","BHR","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","86.2930908203125","","","","","","","","","","96.9381103515625","","","","","","","","","","97.0247116088867","","","","","","","","","98.1635971069336","","","","","99.7718811035156","",
"Bahamas, The","BHS","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7939300537109","","","","","","","","","","","","","","99.6629333496094","99.6522064208984","",
"Belarus","BLR","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7662811279297","","","","","","","","","","99.7918395996094","","","","","","","","","","99.8232116699219","","","","","","99.8401870727539","",
"Belize","BLZ","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.3117446899414","","","","","","","","","","","","","","","","","","","","","","","","88.6058120727539","",
"Bermuda","BMU","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","83.5519790649414","","","","","","","","","","","","","","","","93.896110534668","","","","","","","","","97.3237762451172","","","","","","99.4413604736328","99.1224975585938","99.3839721679688","","99.0075225830078","98.9958801269531","","","99.0404891967773","",
"Brazil","BRA","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","83.9142684936523","","","","","","","","","","","","","","","","","","","","94.1841125488281","","","","96.8438568115234","","97.5822982788086","97.8006286621094","97.8436279296875","98.0655364990234","97.5141220092773","98.4869232177734","98.6196594238281","98.7366790771484","","98.9323883056641","",
"Barbados","BRB","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","99.7551879882813","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","93.6810073852539","","","","","","","","","","98.0956726074219","","","","","","","","","","98.8937911987305","","","","","","","","","","99.3667678833008","","","","99.6049270629883","",
"Bhutan","BTN","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.4052124023438","","","","","","","87.318359375","","","92.0408401489258","",
"Botswana","BWA","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.25830078125","","","","","","","","","","","","93.9574432373047","","","","","","","","","","","97.6808319091797","97.8123168945313","",
