"Data Source","World Development Indicators",

"Last Updated Date","2017-02-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.0713577270508","","","","","","","","","","96.7197799682617","","","","","97.5139617919922","",
"Andorra","AND","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","4.98746013641357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.6120624542236","","","","23.8738498687744","",
"Angola","AGO","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.1944885253906","","","","","","","","","","","","","60.2404899597168","60.744800567627","",
"Albania","ALB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.2522735595703","","","","","","","94.6818084716797","","","95.6914825439453","96.1360702514648","","","96.7696914672852","",
"Arab World","ARB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.0898742675781","","","","","","","","","","54.9934043884277","","","","","","","","","","69.2272033691406","","","","","","",
"United Arab Emirates","ARE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","38.124870300293","","","","","","","","","","68.6612777709961","","","","","","","","","","","","","","","","","","","","91.4747467041016","","","","","","","","","","95.0763397216797","",
"Argentina","ARG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","93.5808868408203","","","","","","","","","","","96.0413589477539","","","","","","","","","","97.1934127807617","","","","","","","","","","","","","98.0756912231445","98.1347808837891","",
"Armenia","ARM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.1501388549805","","","","","","","","","","","","99.1610717773438","","","","","","","","","","99.6903533935547","","","","99.73046875","",
"American Samoa","ASM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","97.2199096679688","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4199981689453","","","","","","","","","","","","","99.4199981689453","","",
"Australia","AUS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.1747817993164","","","","","","","","99.3978805541992","","99.6821517944336","99.692626953125","99.704963684082","99.7028579711914","99.7168197631836","99.7196578979492","99.7345199584961","",
"Burundi","BDI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","11.983570098877","","","","","","","","","","","27.5293006896973","","","","","","","","","","52.2377586364746","","","","","","","","84.5914688110352","","","","","","","82.9128875732422","",
"Belgium","BEL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","9.5390796661377","","","","","","","","","","","","","16.5652408599854","","","","","","","","","","23.3001403808594","","","","18.4429092407227","","","","","","","","","27.2882595062256","",
"Burkina Faso","BFA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","3.1827700138092","","","","","","","","","","","","","","","","8.22542953491211","","","","","8.05797958374023","","","","","","","15.1887702941895","","16.6222400665283","16.291130065918","21.5795707702637","","","","","","","26.2202796936035","28.348840713501","",
"Bangladesh","BGD","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","17.9716300964355","","","","","","","","","","25.8389797210693","","","","","","","","","","40.8233489990234","","","","","","","","","","","","","57.172550201416","58.3136405944824","",
"Bulgaria","BGR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.7064895629883","","","","","","","","","","97.9839019775391","","","","98.0688095092773","",
"Bahrain","BHR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","58.5910911560059","","","","","","","","","","76.9323196411133","","","","","","","","","","83.5574188232422","","","","","","","","","91.6125793457031","","","","","93.4338607788086","",
"Bahamas, The","BHS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.9395294189453","","","","","","","","","94.3599395751953","","","","","","","","","","","","","","97.2359924316406","97.4295425415039","",
"Belarus","BLR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.6282196044922","","","","","","","","","","99.4197235107422","","","","","","","","","","99.4939880371094","","","","","","99.6683502197266","",
"Belize","BLZ","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.3283920288086","","","","","","","","","","","","","","","","","","","","","","","","83.3138198852539","",
"Bermuda","BMU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","51.3746490478516","","","","","","","","","","","","","","","","72.3132171630859","","","","","","","","","80.6543807983398","","","","","","85.9859390258789","86.8317489624023","86.8214569091797","","88.0802001953125","91.8732681274414","","","92.8760604858398","",
"Brazil","BRA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","72.8531494140625","","","","","","","","","","","","","","","","","","","","86.5000534057617","","","","88.8061294555664","","89.8555908203125","90.2280120849609","90.2195510864258","90.4112167358398","90.6817016601563","91.6331481933594","91.6249008178711","91.7649612426758","","92.8659210205078","",
"Barbados","BRB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","99.2515563964844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","68.9825820922852","","","","","","","","","","82.4613571166992","","","","","","","","","","90.1615524291992","","","","","","","","","","94.6524810791016","","","","95.4420318603516","",
"Bhutan","BTN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.6806602478027","","","","","","","48.0165596008301","","","55.1181907653809","",
"Botswana","BWA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.2992401123047","","","","","","","","","","","","81.8079528808594","","","","","","","","","","","88.6681823730469","89.2134704589844","",
"Central African Republic","CAF","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","8.39958000183105","","","","","","","","","","","","","20.3368797302246","","","","","","","","","","","","35.290901184082","","","","","","","","","","24.355489730835","","","","","24.355489730835","",
"Canada","CAN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.9544677734375","","","","","","","","","","98.589973449707","","","","","","","","","","99.1896438598633","","","","","","",
"Switzerland","CHE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","90.8001174926758","","","","","","","","","","94.0367126464844","","","","","","","","","","95.6409301757813","","","","","","98.6955718994141","98.4912796020508","","96.5307083129883","","96.1660919189453","","96.5022201538086","",
"China","CHN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","51.1368103027344","","","","","","","","68.0720825195313","","","","","","","","","","86.5266036987305","","","","","","","","","","92.7112274169922","","","","","94.4713897705078","",
"Cote d'Ivoire","CIV","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.433780670166","","","","","","","","","","28.4766693115234","","38.6145095825195","","","","","","","","","","","","30.4617195129395","","","32.7297096252441","",
"Cameroon","CMR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","29.1161308288574","","","","","","","","","","","","","","","","","","","","","","","","58.7217597961426","","","","","","","63.0220603942871","","","64.7994995117188","","","","","68.8810119628906","",
"Congo, Rep.","COG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.8770599365234","","","","72.8770599365234","",
"Colombia","COL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.1479034423828","","","91.3140029907227","","","","","","","","92.7146301269531","92.911247253418","92.2205963134766","92.8456192016602","93.4353713989258","93.4151306152344","93.4867935180664","93.6671371459961","","","94.4846572875977","94.6714019775391","",
"Comoros","COM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","40.3176193237305","","","","","","","","","","","","","","","","","","","","63.4590187072754","","","","","","","","","","","","","","73.4574966430664","74.2552032470703","",
"Cabo Verde","CPV","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.9986190795898","","","","","","","","","","","","","","74.1010665893555","","","","","","","","80.496223449707","","","84.6595077514648","",
"Costa Rica","CRI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","92.5771331787109","","","","","","","","","","","","","","","","95.0807876586914","","","","","","","","","","","97.5004119873047","","","","97.7102508544922","",
"Caribbean small states","CSS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.2250823974609","","","","","","","","","","93.622932434082","","","","","","",
"Cuba","CUB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7909164428711","","","","","","","","","","99.7998809814453","","","99.7682189941406","",
"Curacao","CUW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.0214767456055","","","","","","","","","",
"Cyprus","CYP","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.0017776489258","","","","","","","","","95.0796585083008","","","","","","","","","","98.1162261962891","","","","98.6427993774414","",
"Czech Republic","CZE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","72.5360794067383","","","","","","","","","","","","","","","","","","","","","87.1770935058594","","","","","88.2771682739258","","","89.6973037719727","90.2255172729492","90.2241668701172","91.2505111694336","92.1477584838867","92.9675521850586","",
"Algeria","DZA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.8399200439453","","","","","","","","","","","","","","","60.075080871582","","","","63.9187889099121","","67.5487518310547","","","","","","","73.0551300048828","",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.4806823730469","","","","","","","","","","86.8535003662109","","","","","","","","","","92.5697937011719","","","","","","",
"Early-demographic dividend","EAR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.5131301879883","","","","","","","","","","60.4963455200195","","","","","","","","","","70.0431747436523","","","","","","",
"East Asia & Pacific","EAS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.8377990722656","","","","","","","","","","88.1017532348633","","","","","","","","","","93.0936050415039","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.3040084838867","","","","","","","","","","95.7628784179688","","","","","","","","","","98.1974182128906","","","","","","",
"Europe & Central Asia","ECS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.0143432617188","","","","","","","","","","97.3259963989258","","","","","","","","","","98.616455078125","","","","","","",
