"Data Source","World Development Indicators",

"Last Updated Date","2017-02-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Improved sanitation facilities, urban (% of urban population with access)","SH.STA.ACSN.UR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.6","98.6","98.5","98.5","98.4","98.4","98.3","98.3","98.3","98.2","98.2","98.1","98.1","98","98","98","97.9","97.9","97.8","97.8","97.7","97.7","97.7","97.7","97.7","97.7","",
"Andorra","AND","Improved sanitation facilities, urban (% of urban population with access)","SH.STA.ACSN.UR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Afghanistan","AFG","Improved sanitation facilities, urban (% of urban population with access)","SH.STA.ACSN.UR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2","26.2","26.2","26.2","26.2","27.2","28.2","29.2","30.2","31.2","32.2","33.2","34.2","35.1","36.1","37.1","38.1","39.1","40.1","41.1","42.1","43.1","44.1","45.1","45.1","",
"Angola","AGO","Improved sanitation facilities, urban (% of urban population with access)","SH.STA.ACSN.UR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.6","64.6","64.6","64.6","65.8","67","68.2","69.4","70.6","71.8","73","74.2","75.4","76.6","77.8","79","80.2","81.4","82.6","83.8","85","86.2","87.4","88.6","88.6","88.6","",
"Albania","ALB","Improved sanitation facilities, urban (% of urban population with access)","SH.STA.ACSN.UR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.5","94.5","94.5","94.5","94.5","94.5","94.6","94.6","94.7","94.7","94.8","94.8","94.9","94.9","95","95","95.1","95.1","95.2","95.2","95.3","95.3","95.4","95.4","95.5","95.5","",
"Arab World","ARB","Improved sanitation facilities, urban (% of urban population with access)","SH.STA.ACSN.UR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.8310478221016","87.1250215072806","86.9252579508555","86.2292833586402","86.3501601710617","86.6477945026698","86.7794419092507","86.9205928967721","87.0173702225206","87.206126228855","87.3679833079636","87.5461372619053","87.7059626919914","87.8944554149365","88.0875207435156","88.2927709613246","88.5253940082683","88.6851378694926","88.8560724931755","88.9278672909961","88.9690015935083","89.0124903363773","89.7317952454036","89.6358619298828","89.5903407049776","92.6539172646239","",
"United Arab Emirates","ARE","Improved sanitation facilities, urban (% of urban population with access)","SH.STA.ACSN.UR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","",
"Argentina","ARG","Improved sanitation facilities, urban (% of urban population with access)","SH.STA.ACSN.UR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.1","90.3","90.6","90.8","91","91.3","91.5","91.8","92","92.3","92.5","92.8","93","93.2","93.5","93.7","94","94.2","94.5","94.7","95","95.2","95.4","95.7","95.9","96.2","",
"Armenia","ARM","Improved sanitation facilities, urban (% of urban population with access)","SH.STA.ACSN.UR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.2","95.3","95.3","95.4","95.4","95.5","95.5","95.6","95.7","95.7","95.8","95.8","95.9","95.9","96","96.1","96.1","96.2","96.2","",
"American Samoa","ASM","Improved sanitation facilities, urban (% of urban population with access)","SH.STA.ACSN.UR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","61","61","61","61.1","61.1","61.2","61.3","61.4","61.5","61.5","61.6","61.7","61.8","61.8","61.9","62","62.1","62.1","62.2","62.3","62.4","62.5","62.5","62.5","62.5","",
